iter	Passed	Remaining
1152	160660	118021
1153	160826	117902
1154	160996	117785
1155	161144	117652
1156	161168	117428
1157	161253	117249
1158	161411	117124
1159	161567	116996
1160	161719	116867
1161	161821	116700
1162	161973	116570
1163	162130	116444
1164	162285	116316
1165	162447	116193
1166	162636	116089
1167	162848	116001
1168	162988	115862
1169	162999	115631
1170	163183	115524
1171	163363	115413
1172	163435	115226
1173	163590	115098
1174	163756	114977
1175	163999	114911
1176	164182	114802
1177	164423	114733
1178	164641	114648
1179	164923	114607
1180	165089	114485
1181	165104	114259
1182	165286	114149
1183	165298	113921
1184	165440	113784
1185	165589	113650
1186	165760	113532
1187	165926	113410
1188	166126	113312
1189	166281	113182
1190	166290	112954
1191	166464	112838
1192	166648	112728
1193	166719	112542
1194	166890	112424
1195	167039	112291
1196	167171	112146
1197	167348	112031
1198	167498	111898
1199	167651	111767
1200	167818	111646
1201	167829	111420
1202	167982	111290
1203	168131	111156
1204	168138	110929
1205	168266	110782
1206	168277	110558
1207	168443	110436
1208	168582	110296
1209	168595	110075
1210	168766	109955
1211	168944	109841
1212	169041	109674
1213	169199	109547
1214	169355	109419
1215	169487	109274
1216	169698	109181
1217	169805	109021
1218	169969	108897
1219	170165	108794
1220	170418	108727
1221	170590	108608
1222	170789	108506
1223	170955	108383
1224	171103	108249
1225	171246	108111
1226	171252	107887
1227	171332	107710
1228	171481	107576
1229	171636	107447
1230	171657	107233
1231	171827	107113
1232	171962	106970
1233	172152	106863
1234	172165	106645
1235	172331	106522
1236	172500	106400
1237	172654	106270
1238	172822	106148
1239	172833	105930
1240	172839	105709
1241	172994	105579
1242	173173	105464
1243	173335	105338
1244	173496	105212
1245	173673	105096
1246	173814	104957
1247	173991	104841
1248	174162	104720
1249	174220	104532
1250	174345	104384
1251	174488	104247
1252	174641	104115
1253	174795	103985
1254	174963	103862
1255	174972	103645
1256	175104	103502
1257	175113	103286
1258	175119	103068
1259	175375	102998
1260	175570	102891
